dan	27066	dan
yang	22764	yang
mereka	13577	mereka,merekalah
orang	12959	orang,orang-orang,seorang,seseorang,orang-orangnya,orang-orangmu
akan	12162	akan,seakan-akan,seakan
itu	11974	itu,itulah,itukah,itupun
kepada	10759	kepada,kepadamu,kepadanya,kepadaku,kepada-nya,kepada-ku
aku	9483	aku,mengakui,mengaku,pengakuan,akuilah,mengakuinya
dari	8084	dari,darinya,darimu,dariku,dari-ku,dari-mu
dia	8009	dia,dialah
tidak	7875	tidak,tidakkah,tidaklah,setidaknya
tuhan	7620	tuhan,bertuhan
dengan	7080	dengan,dengannya,denganmu,denganku,dengan-nya,dengan-ku
kamu	7046	kamu,kamulah
kata	6546	berkata,perkataan,katanya,mengatakan,katakan,katakanlah
telah	5653	telah,setelah,setelahmu,setelahnya
untuk	5597	untuk,untukmu,untuknya,untukku,untuk-ku,diperuntukkan
anak	5146	anak,anak-anak,anaknya,anak-anaknya,anakku,anak-anakmu
dalam	4591	dalam,dalamnya,dalammu,kedalaman,dalamku,dalam-mu
ada	4087	ada,berada,mengadakan,keadaan,adakah,keadaannya
karena	3836	karena,karenanya,karenamu,karena-mu
jadi	3714	menjadi,terjadi,menjadikan,jadilah,terjadilah,dijadikan
semua	3686	semua,semuanya
raja	3564	raja,kerajaan,raja-raja,kerajaannya,kerajaan-kerajaan,rajanya
pada	3487	pada,padanya,padamu,padaku,pada-nya,pada-mu
ini	3387	ini
lalu	3370	lalu,melalui,berlalu,melaluinya,lalui,dilalui
tetapi	3144	tetapi
bagi	3131	bagi,bagian,bagimu,baginya,bagiku,sebagian
sebab	2912	sebab,sebabnya,menyebabkan,disebabkan,penyebab,menyebabkannya
seperti	2782	seperti,sepertimu,sepertinya,sepertiku
adalah	2669	adalah
lihat	2593	melihat,lihatlah,lihat,melihatnya,penglihatan,terlihat
hadap	2566	terhadap,hadapan,menghadap,hadapanmu,hadapan-nya,hadapan-ku
hari	2558	hari,hari-hari,harinya,hari-harinya,sehari,sehari-hari
atas	2515	atas,atasnya,atasmu,atasku,mengatasi,atas-nya
kami	2482	kami
ketika	2344	ketika,seketika
harus	2307	harus,seharusnya,haruslah,mengharuskan,harusnya,keharusan
datang	2291	datang,mendatangkan,datanglah,mendatangi,pendatang,kedatangan
laku	2253	melakukan,lakukan,dilakukan,melakukannya,lakukanlah,berlaku
buat	2252	membuat,berbuat,perbuatan,membuatnya,dibuat,membuatmu
diri	2215	diri,berdiri,dirinya,dirimu,mendirikan,diri-nya
firman	2107	firman,berfirman,firman-nya,firmankan,firman-mu,firman-ku
para	2078	para
sama	2053	bersama,sama,bersama-sama,bersamamu,bersamanya,bersamaku
dapat	2047	dapat,mendapat,mendapatkan,terdapat,mendapati,didapati
beri	1952	memberikan,memberi,diberikan,memberikannya,berikanlah,kuberikan
kita	1909	kita,kitalah
tempat	1838	tempat,tempat-tempat,menempatkan,tempatnya,tempatmu,ditempatkan
juga	1804	juga,jugalah,jugakah
pergi	1801	pergi,pergilah,kepergian,kepergianmu,kepergianku,kaupergi
oleh	1797	oleh,memperoleh,olehnya,olehmu,peroleh,oleh-nya
turun	1788	keturunan,turun,keturunanmu,menurunkan,keturunannya,turunlah
sampai	1762	sampai,menyampaikan,sampaikan,disampaikan,kusampaikan,sampaikanlah
tinggal	1658	tinggal,meninggalkan,ditinggalkan,tinggallah,tertinggal,tinggalkan
jika	1646	jika
pun	1626	pun
tangan	1626	tangan,tangannya,tanganmu,tanganku,tangan-nya,tangan-mu
dengar	1614	mendengar,mendengarkan,dengarkanlah,dengarlah,dengar,mendengarnya
bawa	1579	membawa,dibawa,membawanya,bawalah,membawamu,bawa
atau	1574	atau,ataupun,ataukah
kota	1561	kota,kota-kota,kotanya,kota-kotanya,kotamu,kota-kotamu
bangsa	1528	bangsa,bangsa-bangsa,bangsanya,bangsaku,bangsamu,sebangsaku
bahwa	1520	bahwa
tahu	1519	tahu,mengetahui,ketahuilah,pengetahuan,mengetahuinya,diketahui
baik	1508	baik,kebaikan,terbaik,memperbaiki,baik-baik,perbaikan
jangan	1493	jangan,janganlah,jangan-jangan
jalan	1483	jalan,berjalan,perjalanan,jalan-jalan,jalannya,jalan-jalanmu
apa	1482	apa,apa-apa,apalah,apa-apanya
seluruh	1435	seluruh,seluruhnya,keseluruhan,keseluruhannya
sembah	1406	persembahan,mempersembahkan,menyembah,dipersembahkan,persembahannya,persembahkan
sudah	1403	sudah,sesudah,sesudahnya,kesudahan,sesudahmu,kesudahannya
hal	1397	hal,hal-hal,halnya
perintah	1391	perintah,memerintah,memerintahkan,perintahkan,pemerintahan,diperintahkan
hidup	1374	hidup,kehidupan,hidupnya,hidupmu,hidupku,hiduplah
perempuan	1360	perempuan,perempuannya,perempuan-perempuan,perempuanmu,perempuanku,perempuan-perempuannya
lain	1360	lain,melainkan,lainnya,berlainan
tanah	1343	tanah,tanahmu,tanahnya,tanah-tanah,tanah-ku,tanah-nya
dua	1338	dua,kedua,keduanya,berdua,mendua,dua-duanya
mati	1306	mati,kematian,kematiannya,mematikan,kematian-nya,matiku
antara	1282	antara,antaramu,perantaraan,antaranya,perantara,perantaraanku
hati	1281	hati,hatimu,hatinya,hatiku,berhati-hatilah,hati-ku
milik	1266	memiliki,milik,miliki,miliknya,milikmu,pemilik
makan	1264	makan,makanan,memakan,memakannya,dimakan,makanlah
benar	1232	benar,kebenaran,benar-benar,sebenarnya,dibenarkan,kebenaran-mu
lama	1228	selama,selama-lamanya,lama,selamanya,lamanya,berlama-lama
bagai	1196	sebagai,bagaikan,berbagai,bagai,berbagai-bagai
serta	1188	serta,beserta,menyertai,menyertainya,menyertaimu,disertai
banyak	1180	banyak,sebanyak,banyaknya,memperbanyak,kebanyakan,banyaklah
nama	1176	nama,bernama,nama-ku,nama-mu,nama-nya,namanya
lagi	1171	lagi,lagikah
sehingga	1161	sehingga
negeri	1143	negeri,negerinya,negerimu,negeri-negeri,negeriku,negeri-ku
supaya	1141	supaya
satu	1140	satu,satu-satunya,satunya,bersatu,kesatuan,dipersatukan
besar	1131	besar,pembesar,kebesaran,sebesar,membesarkan,terbesar
sendiri	1050	sendiri,sendirian,tersendiri,sendirilah,sendirinya,menyendiri
biar	1038	biarlah,biarkan,membiarkan,biarkanlah,dibiarkan,membiarkanmu
tiap	1019	setiap,tiap-tiap,tiap
rumah	1013	rumah,rumahnya,rumahmu,rumah-rumah,rumahku,rumah-ku
imam	1003	imam,imam-imam,keimaman,imamnya,imam-imamnya,imamku
segala	986	segala,segalanya
saudara	965	saudara-saudara,saudara,saudara-saudaranya,saudaranya,saudaramu,saudara-saudaraku
jawab	964	menjawab,jawab,jawaban,menjawabnya,jawablah,menjawabmu
kudus	962	kudus,menguduskan,dikuduskan,kudus-nya,kekudusan,kudus-ku
siapa	953	siapa,siapakah,siapa-siapa
kembali	947	kembali,mengembalikan,kembalilah,mengembalikannya,dikembalikan,kembalikan
jahat	933	jahat,kejahatan,kejahatannya,penjahat,kejahatanmu,kejahatan-kejahatan
yaitu	923	yaitu
lebih	921	lebih,melebihi,selebihnya,terlebih,kelebihan,lebih-lebih
tahun	917	tahun,setahun,tahun-tahun,bertahun-tahun,tahunnya,tahun-tahun-mu
keluar	917	keluar,mengeluarkan,keluarlah,dikeluarkan,keluarkan,mengeluarkannya
mata	915	mata,matamu,matanya,mataku,mata-ku,mata-mu
sana	914	sana,sanalah
ambil	910	mengambil,ambillah,diambil,mengambilnya,ambil,diambilnya
buah	891	sebuah,buah,buahnya,buah-buah,berbuah,buah-buahan
hukum	879	hukum,hukuman,dihukum,menghukum,penghukuman,hukum-hukum-mu
air	878	air,airnya,perairan,airmu,berair,mengairi
dosa	873	dosa,berdosa,dosa-dosa,dosanya,dosa-dosamu,dosamu
manusia	867	manusia,manusialah,manusianya
kepala	864	kepala,kepalanya,kepalamu,kepalaku,kepala-kepala,kepala-nya
bumi	861	bumi,buminya,dikebumikan,bumi-nya
hamba	856	hamba,hambamu,hamba-mu,hamba-ku,hambanya,hamba-hambamu
laki	854	laki-laki,laki-lakinya,laki-lakimu,laki-lakiku,laki-laki-ku
masuk	840	masuk,termasuk,memasukkan,masuklah,masuki,memasukkannya
sekarang	819	sekarang
duduk	817	duduk,penduduk,penduduknya,menduduki,duduklah,pendudukan
tetap	804	tetap,menetapkan,ditetapkan,ketetapan,menetap,ketetapan-ketetapan-ku
demikian	801	demikian,demikianlah,sedemikian
umat	778	umat,umat-ku,umat-nya,umat-mu,umatnya,umatmu
apakah	767	apakah
ayah	761	ayahnya,ayah,ayahku,ayahmu,ayahmulah,berayah
pintu	744	pintu,pintu-pintu,pintu-pintunya,pintunya,pintumu,pintu-ku
kurban	741	kurban,kurban-kurban,berkurban,kurban-kurbanmu,kurbannya,kurbanmu
tentang	740	tentang,menentang,menentangmu,tentangnya,tentangmu,bertentangan
bunuh	730	membunuh,dibunuh,membunuhnya,terbunuh,pembunuh,membunuhmu
