aku	2066378	aku,akulah,mengakui,mengaku,pengakuan,akui
kau	1428822	kau,kaulah,kaukah,kaupun,kaukan
yang	1261107	yang
tidak	1090300	tidak,setidaknya,tidakkah,tidaklah,ketidak,tidaknya
itu	910285	itu,itulah,itukah,itukan,itupun
ini	909473	ini,inilah,inikah,inikan,inii,inipun
dan	786548	dan,dani
dia	770014	dia,dialah,diapun,diakah,delia,diakan
apa	760661	apa,apapun,apaan,apanya,apalah,apakan
akan	743566	akan,akankah,seakan,akanku,akankan
kita	627564	kita,kitalah,kitai,kitakan,kitapun
untuk	557005	untuk,untukmu,untukku,untuknya,diperuntukkan
ada	480160	ada,berada,keadaan,adanya,mengadakan,adakah
bisa	469019	bisa,bisakah,sebisa,kubisa,sebisaku,berbisa
tak	445156	tak,takkan,takan,taklah,takkanlah
dengan	433610	dengan,denganmu,dengannya,denganku
tahu	401596	tahu,mengetahui,ketahui,mengetahuinya,diketahui,pengetahuan
jadi	393569	jadi,menjadi,terjadi,kejadian,jadilah,menjadikan
mereka	389584	mereka,merekalah,merekapun
orang	378016	orang,seorang,seseorang,seorangpun,orangnya,orangmu
anda	375371	anda,seandainya,andalah
dari	345473	dari,dariku,darimu,darinya
saya	337916	saya,sayalah
laku	327633	lakukan,melakukan,melakukannya,kulakukan,dilakukan,pelakunya
harus	305267	harus,seharusnya,harusnya,haruskah,haruslah,mengharuskan
baik	296597	baik,baiklah,terbaik,sebaiknya,memperbaiki,kebaikan
tapi	293529	tapi
lihat	293174	melihat,lihat,terlihat,melihatnya,lihatlah,melihatmu
kami	282454	kami,kamilah,kamipun
pada	271077	pada,padaku,padamu,padanya,memadai
sudah	260749	sudah,sudahlah,sudahkah,sesudah,sudahi,sesudahnya
ingin	251179	ingin,inginkan,menginginkan,keinginan,menginginkannya,kuinginkan
seperti	248952	seperti,sepertinya,sepertimu,sepertiku
semua	247993	semua,semuanya,disemua,kesemua,kesemuanya
sini	243670	sini,disini,sinilah,sinikah,sinii,sinikan
kamu	233226	kamu,kamulah,kamui,kamukah
adalah	231855	adalah
saja	230739	saja,sajalah,sajakah
pergi	217709	pergi,pergilah,bepergian,perginya,kepergian,berpergian
jika	205882	jika,jikapun
hanya	202799	hanya,hanyalah
dalam	200303	dalam,dalamnya,didalam,kedalam,mendalam,didalamnya
kata	190857	katakan,mengatakan,kata,berkata,kukatakan,mengatakannya
sekarang	188675	sekarang,sekaranglah,sekarangpun
bukan	179948	bukan,bukanlah,bukannya,bukankan
dapat	171124	dapat,mendapatkan,mendapat,dapatkan,mendapatkannya,dapatkah
bagaimana	167293	bagaimana,bagaimanapun,sebagaimana,bagaimanakah
punya	166178	punya,mempunyai,punyaku,punyamu,kupunya,punyai
benar	163813	benar,sebenarnya,benarkah,kebenaran,benarkan,kebenarannya
pikir	163225	pikir,berpikir,kupikir,pikirkan,pikiran,memikirkan
telah	162095	telah,setelah,setelahnya,setelahmu,setelahku
jangan	161410	jangan,janganlah,jangankan
lagi	160576	lagi,lagian,lagipun,lagii
buat	160543	membuat,buat,membuatku,membuatmu,membuatnya,berbuat
lebih	158623	lebih,berlebihan,terlebih,melebihi,kelebihan,selebihnya
temu	152113	menemukan,bertemu,temukan,menemukannya,ditemukan,pertemuan
